treatment,Shoot dry weight(g),Root dry weight(g),POD,CAT,SOD,PPO,MDA,JA,SA,NO,Mycorrhizal colonization(%),Transpiration rate,Net photosynthetic rate,Stomatal conductance,Intercellular CO2 Concentration
NM-U-P+,3.18 ,0.44 ,1538.727 ,1118.700 ,87.632 ,164.727 ,19.800 ,1.190 ,83.267 ,0.128875 ,,1.131 ,5.30 ,41.4 ,224.6 
NM-U-P+,3.90 ,0.83 ,1060.200 ,1044.120 ,117.710 ,136.364 ,8.184 ,1.442 ,69.114 ,0.121000 ,,1.069 ,5.40 ,22.2 ,209.0 
NM-U-P+,3.40 ,0.28 ,829.846 ,1010.220 ,118.488 ,156.600 ,17.507 ,2.147 ,77.013 ,0.089250 ,,0.793 ,4.50 ,36.7 ,162.7 
NM-U-P+,3.69 ,0.66 ,810.429 ,833.940 ,74.680 ,135.857 ,8.847 ,1.508 ,82.788 ,0.097250 ,,1.215 ,4.73 ,70.7 ,116.1 
NM-L-P+,2.42 ,0.36 ,862.364 ,922.080 ,298.599 ,130.364 ,9.627 ,3.521 ,102.717 ,0.247375 ,,1.638 ,5.69 ,93.5 ,181.9 
NM-L-P+,3.00 ,0.47 ,967.200 ,1215.185 ,279.681 ,185.000 ,14.002 ,3.652 ,89.180 ,0.257500 ,,2.208 ,7.71 ,81.4 ,174.2 
NM-L-P+,3.15 ,0.59 ,1082.182 ,1232.727 ,340.792 ,130.909 ,9.302 ,2.679 ,113.514 ,0.235250 ,,2.180 ,10.83 ,83.3 ,224.1 
NM-L-P+,3.66 ,0.53 ,1130.308 ,1288.200 ,160.038 ,136.909 ,18.315 ,2.374 ,97.078 ,0.181625 ,,1.414 ,5.22 ,63.7 ,149.7 
NM-L-P+,3.15 ,0.47 ,786.923 ,1268.829 ,249.555 ,156.000 ,15.721 ,3.582 ,100.891 ,0.233125 ,,1.494 ,5.67 ,71.7 ,126.1 
NM-L+P+,3.03 ,0.51 ,1330.615 ,1109.455 ,77.751 ,152.308 ,44.060 ,3.687 ,92.992 ,0.290750 ,70.00 ,0.861 ,6.60 ,99.7 ,266.6 
NM-L+P+,3.05 ,0.46 ,828.545 ,1887.100 ,50.241 ,218.400 ,52.405 ,2.910 ,107.282 ,0.201625 ,70.00 ,1.858 ,6.21 ,108.3 ,175.6 
NM-L+P+,3.43 ,0.65 ,1041.600 ,1566.180 ,92.061 ,161.000 ,38.649 ,2.994 ,97.877 ,0.293000 ,95.00 ,1.250 ,5.44 ,102.1 ,225.1 
NM-L+P+,3.64 ,0.64 ,930.000 ,1032.646 ,78.740 ,172.500 ,59.713 ,3.595 ,100.936 ,0.268750 ,75.00 ,1.100 ,4.28 ,50.5 ,174.7 
NM-L+P+,4.08 ,0.89 ,1357.800 ,1017.000 ,59.295 ,203.143 ,34.984 ,3.135 ,108.332 ,0.299000 ,90.00 ,1.324 ,4.62 ,63.8 ,111.3 
AM-L-P+,2.97 ,0.58 ,872.769 ,666.700 ,154.742 ,172.364 ,11.306 ,2.764 ,94.179 ,0.219375 ,85.00 ,1.498 ,5.02 ,103.1 ,177.5 
AM-L-P+,3.23 ,0.60 ,1116.000 ,1060.145 ,141.089 ,162.600 ,10.395 ,2.506 ,102.488 ,0.201875 ,80.00 ,2.018 ,10.60 ,110.4 ,169.4 
AM-L-P+,3.70 ,0.71 ,1268.182 ,759.360 ,121.692 ,146.400 ,12.943 ,3.034 ,102.306 ,0.235875 ,85.00 ,1.540 ,11.33 ,71.9 ,236.8 
AM-L-P+,3.48 ,0.64 ,1200.545 ,906.055 ,103.210 ,127.500 ,10.620 ,2.678 ,98.151 ,0.166125 ,95.00 ,0.891 ,7.30 ,46.5 ,226.0 
AM-L-P+,4.01 ,0.89 ,1268.182 ,1057.680 ,131.203 ,123.818 ,9.143 ,2.742 ,92.056 ,0.208750 ,95.00 ,0.880 ,5.63 ,99.3 ,194.7 
